ma;vt_tzone;sr_tzone;v2_vt_s;v3_vt_r
1;4;4;1.70721;0.102433
1;4;3;2.04866;0.495092
2;2;4;0.819462;1.62185
1;4;4;2.21938;0.341443
1;4;3;1.29748;0.631669
2;3;5;1.26334;1.80965
1;5;4;1.96329;0.0853606
2;4;4;2.35595;1.36577
2;3;4;1.0414;1.07554
1;4;4;2.54375;0.495092
2;3;4;2.65;1.54
1;5;4;2.37303;0.290226
1;3;3;1.26334;0.426803
2;4;4;2.33888;0.819462
1;3;3;1.86086;0.699957
1;5;6;2.3901;0.119505
2;3;4;1.00726;1.00726
1;4;4;1.74136;0.358515
1;4;3;1.63892;0.256082
2;1;3;0.460948;2.85105
2;1;3;0.665813;1.50235
1;4;4;2.5096;0.341443
2;1;3;0.580452;0.614597
1;4;3;1.4682;0.290226
1;3;4;1.09262;0.460948
1;5;5;1.41699;0.221938
1;4;4;1.4682;0.32437
1;4;3;2.30474;0.512164
2;1;3;0.56338;1.14383
1;4;4;1.82672;0.495092
1;7;4;2.49253;0.341443
2;1;3;0.32437;1.91208
2;1;3;0.80239;2.0828
1;4;4;2.15109;0.153649
1;4;3;2.37303;1.12676
1;4;3;2.5096;0.938967
1;4;3;1.53649;0.529236
1;5;4;2.64618;0.512164
2;1;5;1.29748;1.70721
2;2;4;0.47802;1.96329
1;4;3;2.45839;0.23901
1;4;7;1.60478;0.256082
1;4;3;2.49253;0.23901
1;4;3;2.3901;0.256082
1;4;3;2.45839;0.990184
1;3;3;1.14383;1.00726
2;2;3;0.307298;2.40717
1;3;4;1.58771;0.990184
1;3;4;1.31455;0.734102
1;3;4;1.94622;0.631669
1;4;4;2.54375;0.375587
1;2;2;0.32437;1.28041
1;3;4;1.0414;0.938967
1;4;4;1.22919;0.136577
1;4;5;2.54375;0.495092
1;4;5;1.82672;0.204866
1;4;4;1.62185;0.47802
1;4;3;2.25352;0.56338
2;3;4;2.33888;1.02433
1;4;4;2.5096;0.221938
1;4;3;2.0828;0.256082
1;5;5;2.52668;0.23901
2;1;4;1.00726;1.7755
1;4;3;2.03158;0.170721
1;4;4;1.62185;0.341443
1;4;3;1.87793;0.256082
2;2;3;0.904823;1.4682
1;3;2;1.1609;0.170721
1;5;5;1.79257;0.0853606
2;2;3;0.614597;1.09262
1;6;4;2.52668;0.307298
1;3;2;0.887751;0.529236
1;3;2;0.734102;0.665813
1;2;3;1.02433;1.86086
1;3;3;2.0828;0.597525
1;5;4;2.2023;0.358515
2;4;4;0.836534;0.631669
1;4;4;2.30474;0.409731
1;5;4;1.7755;0.170721
1;4;5;2.18523;0.392659
1;3;3;1.4682;0.495092
1;4;4;2.28767;0.580452
1;4;3;0.973111;0.204866
1;4;3;1.84379;0.426803
1;4;4;1.98037;0.529236
2;1;3;0.256082;2.5096
1;3;3;1.31455;0.341443
1;4;4;1.69014;0.47802
1;4;4;1.41699;0.426803
2;3;3;1.38284;1.31455
1;4;4;2.09987;0.375587
1;3;3;1.41699;0.734102
1;4;4;2.16816;0.23901
1;3;3;1.656;0.870679
1;4;3;1.53649;0.307298
2;2;3;0.273154;2.44131
2;1;3;0.699957;2.44131
2;1;4;0.443875;1.94622
1;4;4;1.72429;0.187793
2;1;3;0.0512164;1.38284
1;5;4;1.53649;0.187793
1;4;4;2.30474;0.136577
2;1;3;0.56338;1.45113
2;1;4;0.47802;0.990184
1;4;4;1.75843;0.460948
1;5;4;2.32181;0.307298
1;3;3;1.14383;1.39991
1;3;3;1.60478;0.768246
1;4;4;1.57064;0.187793
2;3;4;2.18523;0.631669
1;2;3;0.460948;1.62185
2;1;3;0.358515;1.29748
1;4;4;1.67307;0.0341443
2;2;3;1.22919;2.33888
1;3;3;0.836534;0.546308
2;1;3;0.751174;2.45839
2;1;4;0.187793;1.48528
1;4;3;2.57789;0.512164
2;1;3;0.47802;1.98037
2;1;3;0.392659;1.94622
2;1;4;0.665813;2.56082
2;3;4;1.0414;0.956039
1;4;4;1.67307;0.221938
2;1;4;0.717029;2.25352
2;1;3;0.648741;2.21938
1;4;3;2.03158;0.273154
2;2;4;0.102433;1.33163
2;1;4;0.221938;2.0828
1;3;3;0.597525;0.546308
1;4;4;1.99744;0.734102
1;4;4;1.99744;0.23901
2;3;3;0.443875;0.904823
2;1;4;0.717029;1.48528
2;2;4;0.717029;1.51942
2;4;6;2.16816;1.14383
2;3;4;2.25352;2.06573
1;4;4;1.53649;0.409731
2;1;7;0.187793;1.38284
1;5;4;1.99744;0.0682885
1;4;6;1.07554;0.580452
1;3;3;0.409731;1.12676
1;3;4;2.03158;0.665813
1;4;4;1.67307;0.460948
2;4;4;2.40717;0.341443
2;1;3;0.426803;1.7755
1;3;3;0.717029;0.921895
2;2;4;0.699957;1.17798
1;5;6;1.67307;0.273154
2;1;3;0;2.03158
1;5;4;2.47546;0.307298
1;4;3;1.58771;0.32437
2;2;3;0.80239;1.39991
1;4;3;2.01451;0.512164
1;4;5;1.51942;0.23901
1;4;4;1.99744;0.546308
1;4;3;2.16816;0.119505
2;1;4;0.170721;1.21212
1;3;4;0.751174;0.409731
2;2;3;0.256082;1.07554
2;1;3;0.853606;2.44131
1;4;5;1.94622;0.443875
2;1;5;0.546308;1.94622
1;4;4;1.74136;0.256082
1;4;4;2.06573;0.460948
1;4;3;2.13402;0.375587
1;4;2;1.92915;0.460948
2;1;3;0.529236;2.3901
2;2;5;0.682885;1.3487
2;1;2;0.375587;0.990184
2;3;4;0.341443;0.80239
1;4;4;1.05847;0.597525
2;2;4;0.290226;1.67307
1;3;2;1.0414;0.597525
2;3;4;0.836534;2.2023
2;1;6;1.14383;1.45113
1;4;4;2.49253;0.358515
2;1;3;0.153649;1.28041
1;5;4;1.72429;0.392659
1;4;4;2.5096;0.375587
1;4;4;0.887751;0.256082
1;4;4;0.836534;0.0682885
1;3;4;0.819462;0.529236
1;3;3;1.1609;0.56338
2;3;4;0.375587;0.956039
1;4;4;0.870679;0.0682885
2;2;3;1.26334;2.33888
1;4;4;2.13402;0.80239
1;3;2;0.904823;0.682885
2;1;2;0.717029;2.45839
1;5;4;1.82672;0.102433
2;4;5;0.785318;1.22919
2;3;5;0.648741;0.870679
2;3;7;0.47802;0.682885
1;4;4;1.31455;0.187793
1;5;4;2.06573;0.0170721
1;4;3;1.67307;0.614597
1;5;5;1.28041;0.136577
1;3;3;1.17798;0.358515
1;4;3;1.07554;0.290226
2;1;4;0.290226;1.57064
1;4;4;2.40717;0.426803
1;4;6;1.3487;0.392659
